id  , node_mac           , timestamp , received_at                 , air_quality_ppm, temperature, humidity, noise_db, mq135_raw, sound_raw, hop_count, seq_num, rssi, recv_rssi, battery_pct, peer_count, node_state
(89 , '28:05:A5:32:43:64', 1773928726, '2026-03-19T13:58:47.274387',           31.41, 32.1       , 48.8    ,     52.1,       132,      1575,         1,     276, -53 , -54      ,         100,          2, 1)
(90 , '1C:C3:AB:B3:7F:08', 1773928729, '2026-03-19T13:58:50.989947',            6.1 , 32.6       , 50.4    ,     51.4,         0,      1456,         1,     285, -84 , -84      ,         100,          2, 1)
(91 , '28:05:A5:32:43:64', 1773928736, '2026-03-19T13:58:57.452843',           31.03, 32.1       , 48.8    ,     52.1,       131,      1578,         1,     277, -53 , -54      ,         100,          2, 1)
(92 , '1C:C3:AB:B3:7F:08', 1773928739, '2026-03-19T13:59:00.411567',            6.1 , 32.7       , 50.4    ,     51.4,         0,      1456,         1,     286, -80 , -82      ,         100,          2, 1)
(93 , '28:05:A5:32:43:64', 1773928746, '2026-03-19T13:59:07.107341',           30.28, 32.1       , 48.9    ,     52.1,       129,      1571,         1,     278, -53 , -54      ,         100,          2, 1)
(94 , '1C:C3:AB:B3:7F:08', 1773928749, '2026-03-19T13:59:10.064015',            6.1 , 32.7       , 50.4    ,     51.4,         0,      1456,         1,     287, -77 , -81      ,         100,          2, 1)
(95 , '28:05:A5:32:43:64', 1773928757, '2026-03-19T13:59:17.972731',           30.28, 32.1       , 48.8    ,     52.1,       129,      1568,         1,     279, -53 , -53      ,         100,          2, 1)
(96 , '1C:C3:AB:B3:7F:08', 1773928759, '2026-03-19T13:59:20.411725',            6.1 , 32.7       , 50.4    ,     51.4,         0,      1456,         1,     288, -83 , -86      ,         100,          2, 1)
(97 , '28:05:A5:32:43:64', 1773928767, '2026-03-19T13:59:27.437185',           29.92, 32.1       , 48.9    ,     52.0,       128,      1565,         1,     280, -53 , -54      ,         100,          2, 1)
(98 , '1C:C3:AB:B3:7F:08', 1773928770, '2026-03-19T13:59:30.377864',            6.1 , 32.7       , 50.4    ,     51.4,         0,      1457,         1,     289, -85 , -83      ,         100,          2, 1)
(99 , '28:05:A5:32:43:64', 1773928777, '2026-03-19T13:59:37.492545',           29.92, 32.1       , 48.8    ,     52.0,       128,      1565,         1,     281, -53 , -54      ,         100,          2, 1)
(100, '1C:C3:AB:B3:7F:08', 1773928780, '2026-03-19T13:59:40.771196',            6.1 , 32.7       , 50.4    ,     51.4,         0,      1458,         1,     290, -78 , -83      ,         100,          2, 1)
(101, '28:05:A5:32:43:64', 1773928787, '2026-03-19T13:59:47.388581',           29.92, 32.2       , 48.8    ,     52.0,       128,      1563,         1,     282, -54 , -54      ,         100,          2, 1)
(102, '1C:C3:AB:B3:7F:08', 1773928790, '2026-03-19T13:59:52.840228',            6.1 , 32.7       , 50.4    ,     51.4,         0,      1458,         1,     291, -74 , -78      ,         100,          2, 1)
(103, '28:05:A5:32:43:64', 1773928797, '2026-03-19T13:59:57.485380',           29.55, 32.2       , 48.7    ,     52.0,       126,      1563,         1,     283, -53 , -54      ,         100,          2, 1)
(104, '28:05:A5:32:43:64', 1773928807, '2026-03-19T14:00:20.433411',           28.83, 32.2       , 48.7    ,     52.0,       124,      1555,         1,     284, -53 , -53      ,         100,          2, 1)
(105, '1C:C3:AB:B3:7F:08', 1773928810, '2026-03-19T14:00:20.857337',            6.1 , 32.7       , 50.4    ,     51.4,         0,      1461,         1,     293, -76 , -86      ,         100,          2, 1)
(106, '1C:C3:AB:B3:7F:08', 1773928800, '2026-03-19T14:00:21.165078',            6.1 , 32.7       , 50.4    ,     51.4,         0,      1461,         1,     292, -80 , -82      ,         100,          2, 1)
(107, '28:05:A5:32:43:64', 1773928817, '2026-03-19T14:00:21.759166',           28.47, 32.2       , 48.7    ,     52.0,       123,      1552,         1,     285, -54 , -53      ,         100,          2, 1)
(108, '1C:C3:AB:B3:7F:08', 1773928820, '2026-03-19T14:00:22.958833',            6.1 , 32.7       , 50.4    ,     51.4,         0,      1461,         1,     294, -74 , -78      ,         100,          2, 1)
(109, '28:05:A5:32:43:64', 1773928827, '2026-03-19T14:00:28.167377',           28.12, 32.2       , 48.7    ,     51.9,       121,      1549,         1,     286, -53 , -53      ,         100,          2, 1)
(110, '1C:C3:AB:B3:7F:08', 1773928830, '2026-03-19T14:00:31.240547',            6.1 , 32.8       , 50.3    ,     51.5,         0,      1464,         1,     295, -76 , -76      ,         100,          2, 1)
(111, '1C:C3:AB:B3:7F:08', 1773928840, '2026-03-19T14:00:47.946880',            6.1 , 32.8       , 50.2    ,     51.5,         0,      1465,         1,     296, -75 , -73      ,         100,          2, 1)
(112, '28:05:A5:32:43:64', 1773928837, '2026-03-19T14:00:48.021537',           27.08, 32.2       , 48.7    ,     52.0,       118,      1551,         1,     287, -53 , -53      ,         100,          2, 1)
(113, '28:05:A5:32:43:64', 1773928837, '2026-03-19T14:00:48.050502',           27.08, 32.2       , 48.7    ,     52.0,       118,      1551,         1,     287, -53 , -53      ,         100,          2, 1)
(114, '28:05:A5:32:43:64', 1773928847, '2026-03-19T14:00:48.117392',           27.08, 32.3       , 48.6    ,     52.0,       117,      1551,         1,     288, -53 , -52      ,         100,          2, 1)
(115, '28:05:A5:32:43:64', 1773928857, '2026-03-19T14:01:06.055460',           26.74, 32.3       , 48.5    ,     51.9,       116,      1535,         1,     289, -53 , -53      ,         100,          2, 1)
(116, '1C:C3:AB:B3:7F:08', 1773928850, '2026-03-19T14:01:06.108500',            6.1 , 32.8       , 50.2    ,     51.5,         0,      1466,         1,     297, -81 , -85      ,         100,          2, 1)
